name,region,city,postal_code,country,email,id
Boa Golfklubb Olofström,Blekinge,OLOFSTRÖM,29393,Sverige,boagk@oktv.se,48d7601c-f7e4-48fc-9393-ca7e058518f6
Ängsö Golfklubb,,VÄSTERÅS,72598,Sverige,kansli@angsogolf.org,0c7679bf-6f90-461f-bf68-ade67ffbf5f2
Ljungbyheds Golfklubb,,LJUNGBYHED,26451,Sverige,klubben@ljungbyhedsgk.se,4b5818b3-653b-4422-b873-fa273e490cb4
Varbergs Golfklubb,,TVÅÅKER,43277,Sverige,info@varbergsgk.se,dc88a980-c1eb-4bdc-a18f-10b881685632
Gräppås Golfklubb,,ONSALA,43991,Sverige,info@grappasgk.se,81d47632-d383-497b-b174-e5cb86efd596
Lysegårdens Golfklubb,,ROMELANDA,44292,Sverige,info@lysegardensgk.se,0dd53078-ae3a-46bd-9305-103a6716a78c
Grönlund Golfklubb,,ALMUGNE,74010,Sverige,info@gronlundgk.se,dd329b2d-5bef-43c5-90b0-6c5d84679839
Allerum Golfklubb,,ALLERUM,25476,Sverige,info@allerumgk.nu,bd789494-c6a8-4e94-acdb-91c7b059e4cc
Visingsö Links Golfklubb,,VISINGSÖ,56034,Sverige,kansli@visingsogk.se,bef30503-cd92-472d-8b22-af22e1223302
Umeå Golfklubb,,HOLMSUND,91335,Sverige,info@umgk.se,260ad616-178f-4ddd-8bf0-a42f0d1026ab
Tönnersjö Golfklubb,,ELDSBERGA,30597,Sverige,info@tonnersjogolf.se,db82ead4-cd3e-4a36-9a07-9ad1c44cc238
Ljusdals Golfklubb,,LJUSDAL,82735,Sverige,kansli@golfiljusdal.nu,3bc7b759-b417-4c0e-8ef2-c1400e5d5d96
Forsbacka Golfklubb,,ÅMÅL,66291,Sverige,info@forsbackagk.se,69a1f26f-b9a0-4703-bb52-4da7d5d1e63a
Degerfors Golf ,,DEGERFORS,69335,Sverige,info@degerforsgolf.se,46637ca5-a486-4ed1-b2fe-fc98d5690f84
Emmaboda Golfklubb,,VISSEFJÄRDA,36060,Sverige,info@emmabodagk.se,a62a8f8e-9bbf-43b3-970f-771cf0b478cf
Sjögärde Golfklubb,,FRILLESÅS,43963,Sverige,info@sjogarde.se,1727825e-405b-48fa-8d85-a24b7f5d8e6b
Byxelkroks Golfklubb,,BYXELKROK,38775,Sverige,kansli@byxelkroksgk.se,12adcc9b-e363-43d6-8c75-0104e39b5174
Finspångs Golfklubb,Östergötland,FINSPÅNG,61292,Sverige,info@finspangsgk.se,3dde4d99-cf60-42e5-b78b-830f09ec02f5
Täby Golfklubb,,TÄBY,18770,Sverige,reception@tabygk.se,7b0590cb-ecee-41a1-8af7-cc0cb3417558
World of Golf City Club,,VÄSTRA FRÖLUNDA,42147,Sverige,info@worldofgolf.se,357d3046-a3bf-41cb-a43b-b64d9788bd41
Köpings Golfklubb,,KÖPING,73126,Sverige,info@kopingsgk.nu,cc589abb-d57f-4296-ba40-6fa1c72aa35c
Mjölby Golfklubb,,MJÖLBY,59592,Sverige,kansli@mjolbygk.se,b94f4834-222f-4c62-847e-91cd95b45862
Tomelilla Golfklubb,,TOMELILLA,27394,Sverige,info@tomelillagolf.se,f30d5bc0-d92a-4859-9d92-b370662d6386
Falkenbergs Golfklubb,,FALKENBERG,31172,Sverige,info@falkenbergsgk.se,83f323aa-313a-4fc3-829e-068ae1737045
Motala Golfklubb,,MOTALA,59192,Sverige,kansli@motalagk.se,458b588d-9cd5-4a9e-a3c9-6446e46c88ec
Roslagens Golfklubb Norrtälje,,NORRTÄLJE,76175,Sverige,info@roslagensgk.com,4191700c-72ef-4705-8431-6f6f07323354
Åre Golfklubb,,DUVED,83772,Sverige,info@aregolfklubb.com,bf12434c-0cc2-4f53-80f0-bec57bb7547d
Surahammars Golfklubb,Västmanland,SURAHAMMAR,73534,Sverige,info@surahammarsgk.se,b7ab1b47-956a-4980-bc87-4988dbc7a71d
Vallda Golf & Country Club,,VALLDA,43490,Sverige,kansli@valldagolf.se,88ad8025-f90c-4b29-9350-78ddb1fafc7d
Haninge Golfklubb,Stockholm,ÖSTERHANINGE,13795,Sverige,info@haningegk.se,d8e5e6cc-cfc4-403a-b3ea-d362900f6150
Nässjö Golfklubb,,NÄSSJÖ,57195,Sverige,info@nassjogk.se,9c9148eb-9545-4c0c-b91c-5e2506aa828f
Vetlanda Golfklubb,,VETLANDA,57442,Sverige,info@vetlandagk.com,33ec72ae-9b70-4cd1-9aa4-d6b999dad342
Cloud Golf Club,,SOLNA,17148,Sverige,hello@cloudgolf.se,7b6d5693-5bb0-4e5f-969d-51178c7c77ac
Hedemora Golfklubb,Dalarna,HEDEMORA,77696,Sverige,info@hedemoragk.se,3aa5ffed-e614-441c-aeb9-aa820bc83146
Borås Golfklubb,Västergötland,BORÅS,50495,Sverige,info@borasgolfklubb.se,8f88a01a-c01b-4049-843d-8419d6dd1e56
GolfUppsala,,UPPSALA,75591,Sverige,info@golfuppsala.se,d1587e05-9d9a-4a4a-a25d-d728dedab804
Sölvesborgs Golfklubb,,SÖLVESBORG,29425,Sverige,info@solvesborgsgk.se,f2f231c5-6fb2-426f-a65e-fb669f11649f
Strömsunds Golfklubb,,STRÖMSUND,83323,Sverige,stromsundsgk@gmail.com,47478d7e-656f-4afd-9e9e-cc4843447d33
Landeryds Golfklubb,,LINKÖPING,58593,Sverige,kansli@landeryd.se,e137a989-b9d6-40ec-8216-7f94857d9dc9
Strandtorps Golfklubb,,HALMSTAD,30260,Sverige,kansli@strandtorpgolf.se,be5b1fc0-17a2-4510-83e4-e8783a1cf9d0
Skepptuna Golfklubb Valla,Uppland,MÄRSTA,19593,Sverige,skepptuna.golfklubb@gmail.com,8f4d248f-8fff-4bfd-b316-d1407145be19
Rossöns Golfklubb,,ROSSÖN,88051,Sverige,rossonsgk@gmail.com,47946bca-318f-496a-a2eb-2e9ce8706145
Västerviks Golf,,VÄSTERVIK,59338,Sverige,kansli@vasterviksgolf.se,8f6d902b-6650-4411-8397-956f73f7adf4
Östad Golf Väderstad,östergötland,VÄDERSTAD,59021,Sverige,info@ostadgolf.se,a86fd645-c9ec-401c-9553-b34c59636362
Waldemarsviks Golfbana,,GRYT,61042,Sverige,info@waldemarsviksgolf.se,2c7eec25-7f89-443a-b621-cbfafebc377b
Nora Golfklubb,,NORA,71391,Sverige,info@noragolfklubb.com,87cdfa51-3c55-4c5f-aba4-4c11c61a5a05
Leråkra Golfklubb,Blekinge,RONNEBY,37297,Sverige,info@lerakragolf.se,0acf3515-9722-4ad2-aab6-f17ebc3d0576
Gränna Golfklubb,Småland,GRÄNNA,56392,Sverige,kansli@grannagk.se,1a8f389f-3bd7-49d0-83ce-4cf1bf04c7a1
Oxie Golfklubb,Skåne,MALMÖ,23838,Sverige,info@oxiegk.se,1583b2ec-99a2-4f1e-b08a-814403b8e829
HG Golf Glumslöv,,GLUMSLÖV,26163,Sverige,info@hggolf.se,513fd0f4-7681-431c-bd07-89c05b405970
Saxå Golfklubb,Värmland,FILIPSTAD,68292,Sverige,saxagk@telia.com,1926482e-bb91-4b97-9ac8-2b68428778f8
Sundsta Golf Norrtälje,,NORRTÄLJE,76191,Sverige,golf@sundsta.se,2354eb0a-6630-4437-affc-0766ed739c20
Solbacka Golfklubb,,STJÄRNHOV,64696,Sverige,info@solbackagk.se,60ef4531-4f3b-4535-88fd-05dbaa969488
Hinton Golf Club,Skåne,OXIE,23841,Sverige,info@hintongolf.se,b749835e-8686-4147-8985-453fe7eb5b52
Fjällbacka Golfklubb,,FJÄLLBACKA,45741,Sverige,info@fjallbackagk.se,8b1deda2-7189-48bf-b995-514eb7285b80
Alvesta Golfklubb,,MOHEDA,34263,Sverige,kansli@alvestagolf.se,e1f9db85-5d04-4a0d-8a64-02a13ef9fb11
Kristinehamns Golfklubb,,KRISTINEHAMN,68194,Sverige,kansli@kristinehamnsgk.se,5518cc78-7292-434b-abde-400cf86385c2
Öresunds Golf ,,HÄLJARP,26172,Sverige,info@oresundsgk.se,8ea1a174-2904-44a0-ae8a-e21b0bf18635
Gävle Golfklubb,,GÄVLE,80647,Sverige,kansli@gavlegolf.com,04d77d11-f066-4620-a8eb-8820ba99a6e7
Koberg Golfklubb,,TROLLHÄTTAN,46194,Sverige,kansliet@koberggk.se,9708fc1f-70a9-42f0-b716-d89b4c58eceb
Lunds Akademiska Golfklubb,Skåne,LUND,22592,Sverige,info@lagk.se,aca45bed-d39e-4c38-a3dd-342ec046e112
Ingelsta Golfklubb,Östergötland,NORRKÖPING,60238,Sverige,info@ingelstagk.se,6c79d731-c158-460d-866b-8c6e220275b5
Kävlinge Golfklubb,,KÄVLINGE,24491,Sverige,info@kavlingegk.se,7cd535ce-3d1f-4048-8391-f2b182808860
Bokskogens Golfklubb,Skåne,BARA,23364,Sverige,info@bokskogen.com,dc3ca23b-42ed-4b23-bb4b-45e8ff7f3cdb
Marks Golfklubb,,KINNA,51158,Sverige,info@marksgk.se,c665c705-ddd7-492e-9e31-d8fe987c4ca3
Abbekås Golfklubb,Skåne,ABBEKÅS,27456,Sverige,info@abbekasgk.se,347ad22e-b7d7-4ff0-a90f-9fdc6e5fb749
Götaströms Golfklubb,,SKILLINGARYD,56832,Sverige,info@gotastromsgk.se,cb4b1c70-7dcd-489a-bbe6-e4b45ed856a8
Bjäre Golfklubb,Skåne,BÅSTAD,26993,Sverige,info@bjaregolfklubb.se,9fa3a427-19f1-4028-a08d-3b33ab533fe4
Fagersta Golfklubb,,FAGERSTA,73792,Sverige,info@fagerstagk.se,de52c114-bfa3-480d-9a3c-3169bb7a760e
Chalmers Golfklubb,,LANDVETTER,43891,Sverige,info@chgk.se,51e73b28-7113-4a30-bc55-44710fd6f4a2
Billingens Golfklubb,,LERDALA,54017,Sverige,info@billingensgk.se,6266411b-4b1d-4460-9b89-e0d4c9b1a49f
Vingåkers Golfklubb,,VINGÅKER,64393,Sverige,kansli@vingakersgolf.se,5f7293c4-79e6-4884-8736-dcbe8c7ea604
Sommarro Golf,,KARLSTAD,65230,Sverige,reception@karlstadcitygolf.se,f961e804-870f-48f1-984c-6539e816829e
GolfStar Golf Club,Stockholm,SOLNA,17148,Sverige,info@golfstar.se,4170573d-7422-47e7-b93d-4e2b6dda7b10
Mauritzbergs Slott & Golf,,VIKBOLANDET,61031,Sverige,golf@mauritzberg.se,76585136-32de-4f9c-a2c1-d8966f011134
Linköpings Golfklubb,,LINKÖPING,58330,Sverige,reception@linkopingsgk.se,bd0bba30-f351-47fa-82ea-f26f4ace6c13
Friiberghs Golfklubb,,ÖRSUNDSBRO,74962,Sverige,bokning@friiberghsgk.se,8f72a8ea-c4e5-4fc1-9fc0-070080bad642
Åsundsholms Golfklubb,Västergötland,VEGBY,52011,Sverige,info@asundsholm.se,103758c4-dea2-4b66-bdf6-1c8322f3b9da
Ulricehamns Golfklubb,Västergötland,ULRICEHAMN,52333,Sverige,info@ulricehamnsgk.se,f092be36-5137-4eff-8bc1-a308cc77a51f
Lundsbrunn Golfklubb,Västra Götaland,LUNDSBRUNN,53372,Sverige,kansliet@lundsbrunngk.com,08b85d6a-8bc2-454b-be9e-5df1007a6525
Läckö Golfklubb,,LIDKÖPING,53199,Sverige,info@lackogk.se,b93da802-770f-4a2e-ba9a-004bc057c3dc
Hooks Golfklubb,,HOK,56013,Sverige,kansli@hooksgk.se,bcb4248f-5543-4c21-b242-2aed69ad9294
Fullerö Golfklubb,,VÄSTERÅS,72591,Sverige,kontakta-oss@fullerogk.se,ba07e392-be9c-4fae-af4f-f7a4380ef934
HaningeStrand Golfklubb,,ÖSTERHANINGE,13795,Sverige,info@haningestrand.se,19263661-a98b-4f8f-b8d5-d51c3b4d4d8b
Kils Golfklubb,,KIL,66591,Sverige,kansli@kilsgk.se,2369742f-c78d-4812-913e-4790aa3d5ff0
Nyköpings Golfklubb,,NYKÖPING,61192,Sverige,kansli@nykopingsgk.se,f29160f9-6a4c-43a6-92eb-2704b22f38b3
Bedinge Golfklubb,Skåne,BEDDINGESTRAND,23176,Sverige,info@bedingegk.se,65e8be4e-eb7c-448d-9c4b-f18841cb946d
Ale Golfklubb,,ALVHEM,44691,Sverige,info@alegk.se,76f18371-e53e-4843-afae-35a74ff0906a
Gullbringa Golf & Country Club,,HÅLTA,44295,Sverige,kansli@gullbringagolf.se,3e522386-ba69-4af8-8cb6-347c3cb3ffca
Happy Golfers,,STOCKHOLM,11546,Sverige,support@happygolfer.se,603fcf67-d3af-4b0b-a325-6dc4ad4aece2
Vellinge Golfklubb,Skåne,VELLINGE,23594,Sverige,info@vellingegk.se,f179bca8-5148-45c5-81bd-9e73aa7f8875
Elisefarm Golf Club,,HÖÖR,24396,Sverige,info@elisefarm.se,55cc5523-7595-40c2-bda7-f3a9126065dd
Mölle Golfklubb,,MÖLLE,26377,Sverige,info@mollegk.se,b2c32401-8a6d-4a88-b190-48d63dbf0157
Skepparslövs Golfklubb,Skåne,KRISTIANSTAD,29192,Sverige,kansli@skepparslovsgk.se,53e819ab-c8b2-4bac-9c2e-c5bce188409c
Örbyhus Golfklubb,Uppland,ÖRBYHUS,74895,Sverige,info@orbyhusgolf.se,cdf73d4b-b676-4405-beb7-bb34c88cb2b6
Skaftö Golfklubb,,FISKEBÄCKSKIL,45178,Sverige,kansliet@skaftogk.se,cd045eb7-3c07-49c2-b2d8-50148254a705
Kungälv-Kode Golfklubb,,KODE,44297,Sverige,info@kkgk.se,863b3c77-1f07-4025-8860-6fb1c8e7bc28
Jönåkers Golfklubb,,JÖNÅKER,61196,Sverige,info@jonakersgk.se,42f91b0a-6fa7-460a-9d32-26efcfe38dde
Fors Golf,,VÄSTERHANINGE,13791,Sverige,info@forsgolf.se,4c11a26a-a8cc-41bd-bdf6-2a7c2eaaff44
Söderslätts Golfklubb,Skåne,VELLINGE,23594,Sverige,info@sslgk.se,2bd521e1-cc60-40d9-ae22-1d7b5eae5f23
Västerås Golfklubb,Västmanland,VÄSTERÅS,72480,Sverige,info@vasterasgk.se,377adfdb-8d74-41a6-b9d6-92e64b2e6d66
Eksjö Golfklubb,,EKSJÖ,57596,Sverige,kansli@eksjogk.se,218992e6-5ee5-4969-9afc-d9b3a95be316
Åda Golf & Country Club,,TROSA,61991,Sverige,info@adagolf.se,d57f91f9-bf70-465d-934f-50e7b2621846
Rydö Golfklubb,,RYDÖBRUK,31442,Sverige,info@rydogolf.se,2524c606-27df-4066-9ded-bca329faf149
Hälla Golfklubb,Västmanlands län,VÄSTERÅS,72134,Sverige,info@hallagk.se,bee3743c-cebe-4bb0-9272-bca9d4c47c11
Wattholma Golfklubb,,VATTHOLMA,74392,Sverige,info@wattholmagk.se,1fe679f2-e707-4275-9000-d95e8c851c70
Nynäshamns Golfklubb,,ÖSMO,18491,Sverige,info@nynashamnsgk.se,4addfe0f-9dd5-43d2-858f-7945d0f156ad
Vårgårda Golfklubb,Västra Götaland,VÅRGÅRDA,44792,Sverige,info@vargardagolf.se,fc92ee32-56d3-40f0-99ae-e2dac02a87a1
Värnamo Golfklubb,Småland,VÄRNAMO,33196,Sverige,info@varnamogk.se,4a1a005e-e108-4021-89b0-f13d8cdb52da
Ulriksdals Golfklubb,,SOLNA,17068,Sverige,ulriksdal@arlandastadgolf.se,ee098427-f975-4982-ae6f-8893efa42cac
Sälenfjällens Golfklubb,Dalarna,SÄLEN,78067,Sverige,info@salenfjallensgk.se,ea731b4b-3b2b-4097-a2b1-fcd4db1b66b4
Möre Golfklubb,SMÅLAND,SÖDERÅKRA,38503,Sverige,info@moregk.se,e4735cc3-c740-465d-920d-e42616ad9a33
Isaberg Golfklubb,Småland,HESTRA,33027,Sverige,info@isaberggolf.se,833ab1b5-72b4-46ea-acba-edd73956ec4c
Tortuna Golfklubb,,VÄSTERÅS,72596,Sverige,kansli@tortunagk.com,6166630f-4132-4ff0-8099-8de1772bcd57
Lyckorna Golfklubb,,LJUNGSKILE,45991,Sverige,info@lyckornagk.se,913b9ec4-f183-4b71-b723-87602eb0fb28
Arboga Golfklubb,,ARBOGA,73291,Sverige,info@arbogagk.se,13aa75a3-7f9a-4f3c-b092-432c6a6e993c
Tyresö Golf,Stockholm,TYRESÖ,13549,Sverige,kansli@tyresogolf.com,ce1fe6f1-3a5a-4666-89e5-f6cfa9272061
Carlskrona Golfklubb,Blekinge,NÄTTRABY,37024,Sverige,info@carlskronagk.com,5c98571a-417c-45e5-b852-242cf8a574b4
Hammarö Golfklubb,Värmland,HAMMARÖ,66391,Sverige,info@hammarogk.se,642bdb54-54eb-473e-8997-c43e78f73982
Salems Golfklubb,,SÖDERTÄLJE,15295,Sverige,kansli@salemsgk.se,86cdb4bc-eca1-40da-932c-21ebb7427cef
Villa Baro Golf Åtvidaberg ,,ÅTVIDABERG,59731,Sverige,golf@villabaro.se,e1fec8e2-a906-481e-88bc-f1d71ceb5720
Sjöbo Golfklubb,Skåne,SJÖBO,27594,Sverige,info@sjobogk.com,09d5fc8d-b80c-4dd4-928b-47fdd7ac2875
Brastad Golfklubb,Västra Götalands län,BRASTAD,45491,Sverige,info@brastadgk.se,68517dfb-9895-47fe-a1df-423bfd8d13de
Töreboda Golfklubb,,TÖREBODA,54591,Sverige,info@torebodagk.se,02d5f4c6-442e-44c7-bcb7-3e51dca49d7b
Åkagårdens Golfklubb,,BÅSTAD,26992,Sverige,info@akgk.se,66692156-0c52-4f16-aef2-553c622f5a8b
Böda Sands Golfklubb,NÖ Öland,LÖTTORP,38373,Sverige,info@bodasandgk.se,ffe053e8-c05a-4c02-913e-6e2e73f4472a
Perstorps Golfklubb,SKÅNE,PERSTORP,28491,Sverige,kansli@perstorpsgk.se,ff3899f4-ac80-4b59-bda0-09a593ce60e9
Ramkvilla Golfklubb,Småland,RAMKVILLA,57474,Sverige,info@ramkvillagolf.com,317c34c8-8345-409b-b916-edbac1137718
Kårsta Golfklubb,Örebro,ÖREBRO,70591,Sverige,info@karstagk.se,a931d1ea-c999-4bc4-95a0-98735788c7da
Haverdals Golfklubb,Halland,HAVERDAL,30570,Sverige,info@haverdalsgk.se,27ee4b73-ad57-453a-b600-7cf0674e0a46
Vara-Bjertorp Golfklubb,Västergötland,KVÄNUM,53591,Sverige,info@vara-bjertorpgk.se,2e8d1ef5-3621-4301-8ad9-4d322287ae43
Mora Golfklubb,Dalarna,MORA,79232,Sverige,info@moragk.se,cf0708ee-4fd0-418f-8efd-0b2fd043a426
Onsjö Golfklubb,,VÄNERSBORG,46242,Sverige,info@onsjogk.com,56101ce8-86e9-4605-b018-c87caee9c70d
Örestads Golfklubb,Skåne,LOMMA,23434,Sverige,reception@orestadsgk.com,a86fda95-6323-4a9a-9247-b6eeee736a5a
Reftele Golfklubb,,REFTELE,33021,Sverige,info@reftelegk.com,7cff7b29-605b-45ee-8392-2dea1005938c
Backa Säteri IF,,NÖDINGE,44935,Sverige,info@backasaterigolf.se,f0897c67-2dee-46ac-8e81-6bcbca71f966
Uppvidinge Golfklubb,,KLAVRESTRÖM,36072,Sverige,info@uppvidingegk.com,a3e18ee0-9433-43c8-a29c-7c75488f247d
Skogaby Golfklubb,Halland,LAHOLM,31293,Sverige,info@skogabygk.se,23004038-5c9f-4780-b72f-cc9f9452ca36
Flens Golfklubb,,FLEN,64293,Sverige,info@flensgk.se,3e17a1ba-d5ba-475b-818a-fa7e7683e080
Gumbalde Resort,,STÅNGA,62315,Sverige,info@gumbalde.se,25827b71-0f9f-420d-9dc2-7e5479e82ff9
Åkersberga Golfklubb,Stockholm,ÅKERSBERGA,18433,Sverige,kansli@akersbergagk.se,fde392ba-28ed-4459-8fc7-dc0712afa49c
Bollnäs Golfklubb,,KILAFORS,82391,Sverige,info@bollnasgk.com,db84bdc3-e9e8-4ac6-a8d1-2aacadf25118
Jarlabanke Golfklubb,,TÄBY,18775,Sverige,kansli@jarlabankegk.se,36f612aa-c35f-4769-91fa-9de84566e3f1
Järfälla Golfklubb,,JÄRFÄLLA,17545,Sverige,kansli@jarfallagk.se,0231a56a-49bf-41f0-a203-444953a7f9e0
Klosterfjordens Golfklubb,Halland,ÅSKLOSTER,43296,Sverige,info@klosterfjordensgk.se,6be6af4b-5ff8-48f2-839c-580709d6b8d1
Degeberga-Widtsköfle Golfklubb,Skåne,VITTSKÖVLE,29791,Sverige,info@dwgolfklubb.se,55720987-6a86-4521-b518-32247c0ce9d1
Eda Golfklubb,Värmland,ÅMOTFORS,67396,Sverige,kansli@edagk.com,78a441b1-c8ad-434a-81c8-4b2177fb0451
Alfta-Edsbyns Golfklubb,,ALFTA,82222,Sverige,kanslist@alfta-edsbyn-gk.se,de783ee9-a767-418e-8ca2-904513dd15cf
Tranås Golfklubb,Jönköpings län,TRANÅS,57343,Sverige,kansli@tranasgk.se,05cba23e-79ea-46aa-bf53-6b72334bb7aa
Lycksele Golfklubb,,LYCKSELE,92142,Sverige,info@lyckselegolf.se,830459e5-2c57-4fd1-999a-b13500c6e33b
Björkenäs Golf,,LÖDDEKÖPINGE,24655,Sverige,kansli@larssonsgolfbana.se,4ceba632-c9ae-4c23-a7ce-e4f68a984b63
Lindesbergs Golfklubb,,LINDESBERG,71131,Sverige,info@lindesbergsgk.se,0e625c76-423a-48ae-bc47-e86fb45495ac
Skellefteå Golfklubb,Västerbotten,SKELLEFTEÅ,93192,Sverige,info@skellefteagolf.se,ee6015d8-6ddc-48a7-a67c-cb2ad1f9a7e2
Ljunghusens Golfklubb,Skåne,HÖLLVIKEN,23642,Sverige,info@ljgk.se,bdb66c10-70d6-46d2-bdec-421b4c8596b5
Bosjökloster Golfklubb,Skåne,HÖÖR,24395,Sverige,info@bosjoklostergk.se,efa78854-5bbd-4346-acd4-87a2a2da7bf8
Sigtuna Golfklubb,Uppland,SIGTUNA,19391,Sverige,info@sigtunagk.se,b0f61b00-93d4-4534-b390-a0f9aec1f4f8
Funäsfjällens Golfklubb,Jämtland/Härjedalen,LJUSNEDAL,84696,Sverige,kansli@funasfjallengolf.se,7fcdfc79-05f1-4f96-9f6c-bc7df51476ba
Eslövs Golfklubb,Skåne,ESLÖV,24193,Sverige,info@eslovsgk.se,123b3dfe-4ae4-48f6-855c-2398b9c9cd6a
Katrineholms Golfklubb,,KATRINEHOLM,64193,Sverige,info@katrineholmsgolf.se,b1057f34-89ee-49c3-827f-70acb2b9ba4c
Araslöv Golf & Resort,,FÄRLÖV,29175,Sverige,info@araslovgolf.se,2aea10cb-a8c6-4e5f-be22-3acb18e8e33f
Ringenäs Golfklubb,,HALMSTAD,30591,Sverige,info@ringenas.com,9a031aa6-21f9-4db5-aa66-3918a2c24fd5
Allerum Golf,,ALLERUM,25476,Sverige,info@allerumgk.nu,b83d52c0-b22a-4249-bdc2-329cc525a7af
Norrköping Söderköping Golfklubb,,NORRKÖPING,60597,Sverige,info@nsgk.se,d643eb14-cc03-4342-b840-3c83eac32010
Melleruds Golfklubb,Västra Götaland,MELLERUD,46493,Sverige,reception@mellerudsgolfklubb.se,bdc68d48-b92e-42d7-b27e-05d901afd437
Piteå Golfklubb,,PITEÅ,94141,Sverige,info@piteagolf.se,17eb047d-8fe3-43b7-8fe6-4dda92eea8cf
Mjölkeröds Golfklubb,,TANUMSHEDE,45791,Sverige,info@mjolkerodgk.se,630e0bc5-0ba2-41cc-bf00-b2c2eb77efd5
Hofgårds Golfklubb,Halland,ROLFSTORP,43297,Sverige,kansli@hofgard.se,9c85d7bc-c434-4014-9bc8-1e8984db4924
Alingsås Golfklubb,,ALINGSÅS,44195,Sverige,info@alingsasgk.se,5f8e4826-4b55-4f48-a75c-acb461806da9
Öjestrand Golf Club,,NJURUNDA,86294,Sverige,info@ojestrandgc.se,3815f5ac-7b43-4538-ac91-10d616b5c7dd
Österåkers Golfklubb,,ÅKERSBERGA,18492,Sverige,kansli@ostgk.se,3523fc39-9e64-4efd-bf66-4c6d8fca4003
Timrå Golfklubb,,FAGERVIK,86032,Sverige,info@timragk.se,1f08dc87-8ccc-4901-a5fc-be5b8011e382
Vreta Kloster Golfklubb,,LJUNGSBRO,59075,Sverige,info@vkgk.se,3be7a6ac-9bde-4c7e-b515-b74afb817d67
Hallstaviks Golfklubb,,HALLSTAVIK,76330,Sverige,info@hallstavikgk.se,ea518905-6c1f-415e-b769-dde7003e47ab
Dagsholm Golfklubb,,FÄRGELANDA,45892,Sverige,info@dagsholmgolf.se,e150ab54-8ed1-4971-88b2-91c856a0fd4c
Torreby Golfklubb,,MUNKEDAL,45593,Sverige,Kansliet@torrebygk.se,a6d6f266-117d-43cc-b216-78358522e4ce
Växjö Golfklubb,,VÄXJÖ,35260,Sverige,klubbchef@vaxjogk.com,74ebf48f-dbad-4d6f-9848-4ce78a02a3ba
Östersund-Frösö Golfklubb,Jämtland,FRÖSÖN,83296,Sverige,info@ofg.nu,f0d1b151-cab2-418d-ba2f-aa832f3e527f
Mölndals Golfklubb,,LINDOME,43791,Sverige,reception@molndalsgk.se,aec2dd69-1f7f-42a3-8787-997e7f6c2bea
Norsjö Golfklubb,Västerbotten,NORSJÖ,93532,Sverige,kansli@norsjogk.se,0c4de4a1-00a9-4c0d-a38a-16c8aff388bb
Tjörns Golfklubb,,KÅLLEKÄRR,47193,Sverige,info@tjornsgk.se,403f7641-1f96-4a5c-af03-1eae080fe350
Flemminge Golfklubb,,BOXHOLM,59012,Sverige,kansli@flemmingegolf.se,d049cab6-9929-4d7c-8cd8-5af303701237
Mälarö Golfklubb Skytteholm,,EKERÖ,17890,Sverige,kansli@malarogk.se,d86adc30-6a71-4ede-9217-40ba1bd959a3
Troxhammar Golfklubb,,SKÅ,17975,Sverige,kansli@troxhammargk.se,5c2b60d7-92b1-4307-b3c5-2007fcb209b8
Kalmar Golfklubb,,KALMAR,39359,Sverige,reception@kalmargk.se,a7bbb6b9-90e5-4d56-8a19-43f3fa9940d4
Norrfällsvikens Golfklubb,,MJÄLLOM,87031,Sverige,info@nvgk.se,827ca629-49b1-4141-a4bb-267048438ec5
Hammarby IF Golfförening,,STOCKHOLM,11635,Sverige,info@hammarbygolf.se,fd2b5984-b944-419e-bfa2-d83d9cdc111d
Malmö Burlöv Golfklubb,Skåne,MALMÖ,21227,Sverige,golfklubben@mabgk.se,328613ec-a055-45df-8570-8435714d7bb7
Umeå Norrmjöle Golfklubb,Västerbotten,UMEÅ,90582,Sverige,kansli@nmgk.se,330aaf19-374e-49a7-9bac-6e7f0c869565
Björkhagens Golfklubb,,BAGARMOSSEN,12804,Sverige,kansli@bjgk.se,9671eb51-cf90-4b6a-bd47-8f2ccc48e579
AIK Golfklubb,,SOLNA,16935,Sverige,golf@aik.se,db898993-8dcf-4ce5-a3c0-c07ec4d59b37
Kinds Golfklubb,,SVENLJUNGA,51293,Sverige,info@kindsgk.se,5aaad466-0b21-48b7-949e-44e2cf6c8548
Trelleborgs Golfklubb,,TRELLEBORG,23193,Sverige,kansli@trelleborgsgk.se,e1356f4b-7dae-41a0-8064-5ed366a01af3
Eskilstuna Golfklubb,Södermanlands län,ESKILSTUNA,63502,Sverige,info@eskilstunagk.se,dce407a4-058f-443c-920d-b133b7faa427
Ryfors Golfklubb,,MULLSJÖ,56591,Sverige,info@ryforsgk.se,0f46bdad-94eb-47bd-809d-8f23db35fc4d
Nya Ullared Flädje Golfklubb,Halland,VESSIGEBRO,31165,Sverige,info@fladjegolf.se,012a9ab9-d257-4ab0-acef-778526676d34
Bjurholms Golfklubb,,BJURHOLM,91693,Sverige,kansliet@bjurholmsgk.se,f2a06aa4-b125-4149-ae14-0ac78e4f7147
Karlstads Golfklubb,,KARLSTAD,65592,Sverige,info@karlstadgk.se,43a293b4-43fa-4066-a752-a286c78939a8
Ölands Golfklubb,,LÖTTORP,38771,Sverige,kansli@olandsgk.se,7358bed3-b297-4c86-877a-6868d57ed9c5
